,Player,POS,ADP,Rank,FPTS
0,Le'Veon Bell,RB,1.0,47.0,111.2
1,Adrian Peterson,RB,2.0,2.0,260.7
2,Antonio Brown,WR,3.0,1.0,382.2
3,Jamaal Charles,RB,4.0,51.0,101.1
4,Eddie Lacy,RB,5.0,32.0,140.6
5,Marshawn Lynch,RB,6.0,61.0,82.7
6,Julio Jones,WR,7.0,2.0,369.1
7,Dez Bryant,WR,8.0,81.0,89.1
8,Rob Gronkowski,TE,9.0,1.0,255.6
9,Odell Beckham Jr.,WR,10.0,5.0,319.3
10,C.J. Anderson,RB,11.0,31.0,141.3
11,Demaryius Thomas,WR,12.0,11.0,267.4
12,Matt Forte,RB,13.0,7.0,214.7
13,Calvin Johnson,WR,14.0,12.0,261.4
14,DeMarco Murray,RB,15.0,15.0,184.4
15,Jeremy Hill,RB,16.0,20.0,170.3
16,A.J. Green,WR,17.0,8.0,273.7
17,Andrew Luck,QB,18.0,28.0,130.8
18,Randall Cobb,WR,19.0,26.0,202.9
19,LeSean McCoy,RB,20.0,19.0,178.7
20,Aaron Rodgers,QB,21.0,7.0,301.3
21,Justin Forsett,RB,22.0,41.0,122.4
22,T.Y. Hilton,WR,23.0,22.0,211.4
23,Alshon Jeffery,WR,24.0,42.0,158.7
24,Brandin Cooks,WR,25.0,13.0,253.6
25,Mike Evans,WR,26.0,23.0,210.6
26,Lamar Miller,RB,27.0,5.0,231.9
27,Frank Gore,RB,28.0,14.0,193.4
28,DeAndre Hopkins,WR,29.0,4.0,331.1
29,Jimmy Graham,TE,30.0,20.0,120.5
30,Jordan Matthews,WR,31.0,17.0,230.7
31,Jordan Matthews,WR,31.0,119.0,0.0
32,Mark Ingram II,RB,32.0,11.0,203.4
33,Emmanuel Sanders,WR,33.0,19.0,224.4
34,Melvin Gordon III,RB,34.0,48.0,108.3
35,Latavius Murray,RB,35.0,10.0,204.8
36,Alfred Morris,RB,36.0,53.0,96.6
37,Carlos Hyde,RB,37.0,62.0,81.3
38,Andre Ellington,RB,38.0,68.0,74.7
39,Andre Johnson,WR,39.0,58.0,115.3
40,Amari Cooper,WR,40.0,21.0,212.7
41,Golden Tate,WR,41.0,24.0,209.4
42,Julian Edelman,WR,42.0,38.0,172.5
43,Arian Foster,RB,43.0,67.0,77.0
44,Ameer Abdullah,RB,44.0,43.0,117.0
45,Keenan Allen,WR,45.0,41.0,161.5
46,Joseph Randle,RB,46.0,69.0,74.1
47,Jeremy Maclin,WR,47.0,15.0,243.2
48,Jonathan Stewart,RB,48.0,24.0,162.8
49,Greg Olsen,TE,49.0,5.0,227.4
50,Jarvis Landry,WR,50.0,9.0,269.4
51,Travis Kelce,TE,51.0,8.0,189.5
52,Peyton Manning,QB,52.0,34.0,91.3
53,Drew Brees,QB,53.0,6.0,304.3
54,Sammy Watkins,WR,54.0,20.0,218.8
55,T.J. Yeldon,RB,55.0,27.0,155.9
56,C.J. Spiller,RB,56.0,63.0,81.1
57,Brandon Marshall,WR,57.0,3.0,339.2
58,Doug Martin,RB,58.0,4.0,232.3
59,Russell Wilson,QB,59.0,3.0,336.3
60,Ben Roethlisberger,QB,60.0,20.0,228.3
61,Todd Gurley II,RB,61.0,9.0,208.6
62,Allen Robinson II,WR,62.0,6.0,304.0
63,Davante Adams,WR,63.0,66.0,106.3
64,Martellus Bennett,TE,64.0,22.0,114.9
65,DeSean Jackson,WR,65.0,68.0,104.8
66,Giovani Bernard,RB,66.0,16.0,181.2
67,Martavis Bryant,WR,67.0,39.0,170.2
68,Chris Ivory,RB,68.0,12.0,202.7
69,Nelson Agholor,WR,69.0,101.0,55.3
70,Vincent Jackson,WR,70.0,64.0,107.3
71,Matt Ryan,QB,71.0,19.0,233.9
72,Joique Bell,RB,72.0,50.0,105.7
73,Charles Johnson,WR,73.0,149.0,21.7
74,LeGarrette Blount,RB,74.0,40.0,122.6
75,Shane Vereen,RB,75.0,26.0,158.4
76,Tevin Coleman,RB,76.0,85.0,42.6
77,Rashad Jennings,RB,77.0,22.0,164.9
78,Mike Wallace,WR,78.0,74.0,98.9
79,Tom Brady,QB,79.0,2.0,344.7
80,Tony Romo,QB,80.0,42.0,40.6
81,Matthew Stafford,QB,81.0,9.0,290.7
82,John Brown,WR,82.0,25.0,207.5
83,Ryan Tannehill,QB,83.0,17.0,258.2
84,Isaiah Crowell,RB,84.0,33.0,137.8
85,Jordan Cameron,TE,85.0,27.0,91.6
86,Larry Fitzgerald,WR,86.0,7.0,280.5
87,Roddy White,WR,87.0,73.0,99.6
88,Eric Decker,WR,88.0,14.0,252.7
89,Steve Smith,WR,89.0,53.0,131.0
90,Jason Witten,TE,90.0,10.0,164.3
91,Ryan Mathews,RB,91.0,37.0,124.5
92,Eli Manning,QB,92.0,10.0,287.5
93,Devonta Freeman,RB,93.0,1.0,316.4
94,Tre Mason,RB,94.0,77.0,51.5
95,Victor Cruz,WR,95.0,0.0,0.0
96,Bishop Sankey,RB,96.0,75.0,57.2
97,Anquan Boldin,WR,97.0,40.0,169.9
98,Darren McFadden,RB,98.0,13.0,195.7
99,Kendall Wright,WR,99.0,75.0,96.5
100,Alfred Blue,RB,100.0,46.0,111.7
101,Duke Johnson Jr.,RB,101.0,23.0,164.3
102,Seattle Seahawks,DST,102.0,6.0,148.0
103,Michael Floyd,WR,103.0,37.0,172.9
104,Torrey Smith,WR,104.0,54.0,125.3
105,Devin Funchess,WR,105.0,67.0,106.3
106,Devin Funchess,WR,105.0,131.0,0.0
107,Sam Bradford,QB,106.0,24.0,194.8
108,Danny Woodhead,RB,107.0,3.0,243.1
109,Cam Newton,QB,108.0,1.0,389.1
110,Zach Ertz,TE,109.0,9.0,170.3
111,Delanie Walker,TE,110.0,2.0,244.4
112,Philip Rivers,QB,111.0,12.0,284.2
113,Marques Colston,WR,112.0,56.0,121.0
114,Pierre Garcon,WR,113.0,31.0,185.7
115,DeVante Parker,WR,114.0,78.0,93.4
116,Julius Thomas,TE,115.0,19.0,121.5
117,Terrance Williams,WR,116.0,43.0,154.0
118,Buffalo Bills,DST,117.0,20.0,98.0
119,Tyler Eifert,TE,118.0,6.0,191.5
120,Darren Sproles,RB,119.0,28.0,149.5
121,Houston Texans,DST,120.0,5.0,150.0
122,Teddy Bridgewater,QB,121.0,23.0,200.4
123,Los Angeles Rams,DST,122.0,10.0,132.0
124,David Johnson,RB,123.0,8.0,209.8
125,David Johnson,RB,123.0,144.0,-0.2
126,Breshad Perriman,WR,124.0,0.0,0.0
127,Eddie Royal,WR,125.0,93.0,66.7
128,Markus Wheaton,WR,126.0,45.0,150.9
129,Reggie Bush,RB,127.0,135.0,8.7
130,Knile Davis,RB,128.0,118.0,17.6
131,Brandon LaFell,WR,129.0,80.0,89.4
132,Stephen Gostkowski,K,130.0,1.0,171.0
133,Kyle Rudolph,TE,131.0,15.0,128.5
134,Owen Daniels,TE,132.0,21.0,115.7
135,Charles Sims,RB,133.0,17.0,180.0
136,Steve Johnson,WR,134.0,60.0,112.7
137,Joe Flacco,QB,135.0,26.0,162.1
138,Antonio Gates,TE,136.0,12.0,149.0
139,Dwayne Allen,TE,137.0,58.0,33.0
140,Colin Kaepernick,QB,138.0,31.0,110.3
141,Michael Crabtree,WR,139.0,16.0,231.2
142,Carson Palmer,QB,140.0,5.0,309.2
143,Brian Quick,WR,141.0,151.0,20.2
144,Kenny Stills,WR,142.0,82.0,89.0
145,Austin Seferian-Jenkins,TE,143.0,32.0,78.8
146,Matt Jones,RB,144.0,44.0,114.4
147,New York Jets,DST,145.0,15.0,116.0
148,David Cobb,RB,146.0,112.0,21.4
149,Roy Helu,RB,147.0,104.0,26.4
150,Andre Williams,RB,148.0,90.0,35.4
151,Miami Dolphins,DST,149.0,26.0,86.0
152,DeAngelo Williams,RB,150.0,6.0,231.4
153,Adam Vinatieri,K,151.0,17.0,123.0
154,Jay Cutler,QB,152.0,21.0,226.3
155,Arizona Cardinals,DST,153.0,4.0,162.0
156,Jordy Nelson,WR,154.0,0.0,0.0
157,Doug Baldwin,WR,155.0,10.0,268.9
158,Percy Harvin,WR,156.0,109.0,49.9
159,Ronnie Hillman,RB,157.0,25.0,161.4
160,Rueben Randle,WR,158.0,32.0,184.7
161,Marvin Jones Jr.,WR,159.0,35.0,173.9
162,Vernon Davis,TE,160.0,33.0,77.5
163,Josh Hill,TE,161.0,47.0,40.0
164,Dorial Green-Beckham,WR,162.0,59.0,112.9
165,Denver Broncos,DST,163.0,2.0,168.0
166,Brandon Coleman,WR,164.0,83.0,87.4
167,Phillip Dorsett II,WR,165.0,111.0,46.2
168,Cody Latimer,WR,166.0,155.0,18.0
169,Derek Carr,QB,167.0,15.0,271.3
