"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","8","9","112","14.0","28","3","1","0","0","0","0","1","25.2","25.2","100.0%"
"2","Travis Kelce (KC)","7","9","107","15.3","34","3","1","0","0","0","0","1","23.7","23.7","100.0%"
"3","Vance McDonald (FA)","7","7","38","5.4","8","0","2","0","0","0","0","1","22.8","22.8","0.0%"
"4","Will Dissly (SEA)","5","5","50","10.0","14","0","2","0","0","0","0","1","22.0","22.0","0.0%"
"5","Zach Ertz (ARI)","8","16","72","9.0","16","0","0","0","0","0","0","1","17.2","17.2","94.0%"
"6","Greg Olsen (FA)","6","9","110","18.3","41","5","0","0","0","0","0","1","17.0","17.0","7.0%"
"7","Jason Witten (FA)","4","4","25","6.3","18","0","1","0","0","0","0","1","12.5","12.5","0.0%"
"8","Darren Waller (LV)","6","7","63","10.5","16","0","0","0","0","0","0","1","12.3","12.3","99.0%"
"9","Eric Ebron (FA)","3","4","25","8.3","13","0","1","0","0","0","0","1","11.5","11.5","0.0%"
"10","Evan Engram (JAC)","6","8","48","8.0","33","2","0","0","0","0","0","1","10.8","10.8","20.0%"
"11","Tyler Eifert (FA)","3","5","9","3.0","8","0","1","0","0","0","0","1","9.9","9.9","0.0%"
"12","George Kittle (SF)","3","3","54","18.0","36","2","0","0","0","0","0","1","8.4","8.4","100.0%"
"13","Delanie Walker (FA)","4","6","39","9.8","15","0","0","0","0","0","0","1","7.9","7.9","0.0%"
"14","Austin Hooper (TEN)","4","6","34","8.5","14","0","0","0","0","0","0","1","7.4","7.4","30.0%"
"15","Noah Fant (SEA)","4","4","33","8.3","24","1","0","0","0","0","0","1","7.3","7.3","28.0%"
"16","Hayden Hurst (CIN)","1","1","1","1.0","1","0","1","0","0","0","0","1","7.1","7.1","12.0%"
"17","James O'Shaughnessy (CHI)","4","4","28","7.0","10","0","0","0","0","0","0","1","6.8","6.8","0.0%"
"18","Derek Carrier (FA)","3","5","33","11.0","25","1","0","0","0","0","0","1","6.3","6.3","0.0%"
"19","Jeff Heuerman (FA)","4","5","21","5.3","8","0","0","0","0","0","0","1","6.1","6.1","0.0%"
"20","Vernon Davis (FA)","3","4","29","9.7","15","0","0","0","0","0","0","1","5.9","5.9","1.0%"
"21","Adam Shaheen (MIA)","3","3","24","8.0","9","0","0","0","0","0","0","1","5.4","5.4","0.0%"
"22","Matt LaCosse (FA)","2","2","33","16.5","23","1","0","0","0","0","0","1","5.3","5.3","0.0%"
"23","Gerald Everett (LAC)","3","4","21","7.0","11","0","0","1","0","0","0","1","5.1","5.1","24.0%"
"24","Jesse James (FA)","3","4","18","6.0","7","0","0","0","0","0","0","1","4.8","4.8","0.0%"
"25","Jared Cook (FA)","2","7","25","12.5","18","0","0","0","0","0","0","1","4.5","4.5","1.0%"
"26","Drew Sample (CIN)","2","3","25","12.5","21","1","0","0","0","0","0","1","4.5","4.5","0.0%"
"27","Jordan Akins (NYG)","2","3","25","12.5","16","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"28","Geoff Swaim (TEN)","3","4","14","4.7","9","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"29","Ben Braunecker (FA)","2","3","24","12.0","18","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"30","Jack Doyle (FA)","2","3","21","10.5","13","0","0","0","0","0","0","1","4.1","4.1","2.0%"
"31","Tyler Higbee (LAR)","2","3","21","10.5","18","0","0","0","0","0","0","1","4.1","4.1","53.0%"
"32","Kyle Rudolph (TB)","3","4","9","3.0","5","0","0","0","0","0","0","1","3.9","3.9","2.0%"
"33","Durham Smythe (MIA)","1","1","24","24.0","24","1","0","0","0","0","0","1","3.4","3.4","0.0%"
"34","Blake Jarwin (FA)","1","1","22","22.0","22","1","0","0","0","0","0","1","3.2","3.2","4.0%"
"35","Maxx Williams (ARI)","1","1","21","21.0","21","1","0","0","0","0","0","1","3.1","3.1","0.0%"
"36","Cameron Brate (TB)","2","2","10","5.0","5","0","0","0","0","0","0","1","3.0","3.0","7.0%"
"37","Dawson Knox (BUF)","1","4","18","18.0","18","0","0","0","0","0","0","1","2.8","2.8","95.0%"
"38","Trey Burton (FA)","2","3","5","2.5","5","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"39","Nick Boyle (BAL)","1","3","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"40","Nick Vannett (NO)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"41","Jeremy Sprinkle (FA)","1","1","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","0.0%"
"42","Mike Gesicki (MIA)","1","2","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","73.0%"
"43","Darren Fells (FA)","1","3","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"44","Virgil Green (FA)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"45","Rhett Ellison (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"46","Lee Smith (FA)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"47","Troy Fumagalli (SF)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"48","T.J. Hockenson (DET)","1","3","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","97.0%"
"49","Logan Thomas (WAS)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","10.0%"
"50","Charles Clay (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"51","Nick O'Leary (FA)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"52","Demetrius Harris (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"53","Luke Stocker (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"54","Irv Smith Jr. (MIN)","1","2","-1","-1.0","0","0","0","0","0","0","0","1","0.9","0.9","51.0%"
"55","Jaeden Graham (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","J.J. Arcega-Whiteside (SEA)","1","4","4","4.0","4","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","Tommy Sweeney (BUF)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"58","Foster Moreau (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"59","Trevon Wesco (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"60","Ross Dwelley (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Ryan Izzo (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"62","Tyler Conklin (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"63","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"64","Matthew Orzech (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"65","Taysom Hill (NO)","2","3","16","8.0","9","0","0","0","0","0","0","1","0.0","0.0","9.0%"
"66","Ian Thomas (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"67","Ryan Griffin (CHI)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"68","Xavier Grimble (FA)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"69","Levine Toilolo (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"70","Clark Harris (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
