"ID","OR","Last Name","First Name","Team","Status","Status Details","Eligible Positions","Avg. Pick","Avg. Round","Avg. Cost","% Drafted","Pass Yds (O)","Pass TD (O)","Int (O)","Rush Att (O)","Rush Yds (O)","Rush TD (O)","Targets (O)","Rec (O)","Rec Yds (O)","Rec TD (O)","Ret TD (O)","2-PT (O)","Fum Lost (O)","Fum Ret TD (O)","FG 0-19 (K)","FG 20-29 (K)","FG 30-39 (K)","FG 40-49 (K)","FG 50+ (K)","PAT Made (K)","Pts Allow (DT)","Sack (DT)","Int (DT)","Fum Rec (DT)","TD (DT)","Safe (DT)","Blk Kick (DT)","Ret TD (DT)","XPR (DT)","Pts Allow 0 (DT)","Pts Allow 1-6 (DT)","Pts Allow 7-13 (DT)","Pts Allow 14-20 (DT)","Pts Allow 21-27 (DT)","Pts Allow 28-34 (DT)","Pts Allow 35+ (DT)","Image"
"406.p.29236","21","Wentz","Carson","Was","Available","","QB","130.9","14.4","$1.2","6%","3563","27","7","57","215","1","0","0","0","0","0","2","5","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/Vfo_a4pnVY7YSL1JILF6Pg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08112021/29236.png"
"406.p.33393","22","Chase","Ja'Marr","Cin","Available","","WR","87.2","9.5","$3.1","100%","0","0","0","7","21","0","128","81","1455","13","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/lvjCNNAuu4f1EuWd9QuRtA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08102021/33393.png"
"406.p.33412","23","Harris","Najee","Pit","Available","","RB","18.0","2.3","$43.3","100%","0","0","0","307","1200","7","94","74","467","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/N6QVU26DOyA1z3ZYtycbqw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08122021/33412.png"
"406.p.31002","24","Jackson","Lamar","Bal","Available","","QB","42.2","4.8","$13.9","100%","2882","16","13","133","767","2","0","0","0","0","0","2","3","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/748sc2Fy606buMzR_mWvdg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08192021/31002.png"
"406.p.25785","25","Wilson","Russell","Den","Available","","QB","53.3","5.9","$8.0","100%","3113","25","6","43","183","2","0","0","0","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/vxQgPAnO8ki3pgfQ33BqGQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08262021/25785.png"
"406.p.31056","26","Andrews","Mark","Bal","Available","","TE","50.4","5.7","$10.4","100%","0","0","0","1","0","0","153","107","1361","9","0","2","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/U5k4b0NI1ozLnzsaxXO2bw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08192021/31056.png"
"406.p.29399","27","Hill","Tyreek","Mia","Available","","WR","9.3","1.3","$54.3","100%","0","0","0","9","96","0","159","111","1239","9","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/zfZ_kdouX6tdWrABdq7YVQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202021/29399.png"
"406.p.27590","28","Garoppolo","Jimmy","SF","Questionable","Q - Shoulder","QB","111.4","11.7","$2.9","2%","3810","20","12","38","51","3","0","0","0","0","0","1","3","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/nDmdTk1wKwXwb27YlDsJ.A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08262021/27590.png"
"406.p.30218","29","Conner","James","Ari","Available","","RB","106.1","11.4","$2.0","95%","0","0","0","202","752","15","39","37","375","3","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/Ws4iX4ogt73kAw4OwmGpLQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08042021/30218.png"
"406.p.33403","30","Jones","Mac","NE","Available","","QB","121.2","12.7","$1.6","8%","3801","22","13","44","129","0","0","0","0","0","0","2","3","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/JSCOCgO3vGYUq1_BqaxMSQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08112021/33403.png"
"406.p.28839","31","Heinicke","Taylor","Was","Available","","QB","","","","","3419","20","15","60","313","1","1","1","-2","0","0","1","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/8ozCHyEsCUem8uZJa.KB3A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/09222021/28839.png"
"406.p.8780","32","Ryan","Matt","Ind","Available","","QB","122.9","13.1","$1.3","88%","3968","20","12","40","82","1","0","0","0","0","0","1","4","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/HlPbBUHQOfHwzsiORBcE6w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08192021/8780.png"
"406.p.28534","33","Diggs","Stefon","Buf","Available","","WR","13.0","2.0","$49.2","100%","0","0","0","0","0","0","164","103","1225","10","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/80tJkiyYc0vrrvUjfh2auw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/28534.1.png"
"406.p.29238","34","Elliott","Ezekiel","Dal","Questionable","Q - Knee - PCL","RB","5.0","1.1","$58.9","100%","4","0","0","237","1002","10","65","47","287","2","0","3","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/DUODUN2PLd2SHxwOt85rLg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08092022/29238.png"
"406.p.6770","35","Roethlisberger","Ben","Pit","NotAvailable","NA","QB","122.4","12.9","$1.1","19%","3740","22","10","20","5","1","0","0","0","0","0","2","5","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/eJZ0LFRWyvOtY970yXxZag--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/6770.png"
"406.p.27535","36","Evans","Mike","TB","Available","","WR","35.9","4.2","$19.6","100%","0","0","0","1","10","0","114","74","1035","14","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/ZNoZIvg98gZxhat5XmBaBg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/27535.png"
"406.p.30117","37","Fournette","Leonard","TB","Available","","RB","100.1","10.8","$2.5","98%","0","0","0","180","812","8","84","69","454","2","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/6nD2mizJEc.rB3kgCZDR2A--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08162021/30117.png"
"406.p.31898","38","Johnson","Diontae","Pit","Available","","WR","61.6","6.8","$6.6","100%","0","0","0","5","53","0","169","107","1161","8","0","1","2","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/pOlh205o0H2S7rsLBgaTGA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/10012020/31898.png"
"406.p.26686","39","Kelce","Travis","KC","Available","","TE","12.4","1.8","$50.6","100%","0","0","0","2","3","1","134","92","1125","9","0","0","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/DdGDkVWDQR0W4DqdVjGZ1w--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08202021/26686.png"
"406.p.33389","40","Lawrence","Trevor","Jax","Available","","QB","121.7","13.0","$1.4","87%","3641","12","17","73","334","2","0","0","0","0","0","2","5","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/dYqNrX3nUClUeDdae0_lLA--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08122021/33389.png"
"406.p.30180","41","Kamara","Alvin","NO","Available","","RB","4.4","1.0","$63.0","100%","0","0","0","240","898","4","67","47","439","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/jKPO62cJWrqCeV2LrGMXRQ--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08262021/30180.png"
"406.p.27560","42","Bridgewater","Teddy","Mia","Questionable","Q - Concussion","QB","121.0","12.6","$1.1","3%","3052","18","7","30","106","2","0","0","0","0","0","1","1","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/UZ9RFbBaN8D8pY2C2HDFHw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08092021/27560.png"
"406.p.30120","43","Williams","Mike","LAC","Available","","WR","120.3","12.8","$1.7","62%","0","0","0","0","0","0","129","76","1146","9","0","1","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/ydfFuAs3utJw2QQfSh6Ceg--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08232021/30120.png"
"406.p.26652","44","Patterson","Cordarrelle","Atl","Available","","WR,RB","","","","","0","0","0","153","618","6","69","52","548","5","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","https://s.yimg.com/iu/api/res/1.2/qXk7.YNC2MF04T7ZeC4WFw--~C/YXBwaWQ9eXNwb3J0cztjaD0yMzM2O2NyPTE7Y3c9MTc5MDtkeD04NTc7ZHk9MDtmaT11bGNyb3A7aD02MDtxPTEwMDt3PTQ2/https://s.yimg.com/xe/i/us/sp/v/nfl_cutout/players_l/08042021/26652.png"
