"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Chris Godwin (TB)","7","8","184","26.3","71","10","2","0","0","0","0","1","37.4","37.4","88.0%"
"2","Jarvis Landry (NO)","10","13","148","14.8","37","3","2","0","0","0","0","1","36.8","36.8","35.0%"
"3","DJ Moore (CAR)","6","9","126","21.0","52","8","2","1","8","0","0","1","31.4","31.4","99.0%"
"4","DeAndre Hopkins (ARI)","6","8","94","15.7","35","4","2","0","0","0","0","1","27.4","27.4","83.0%"
"5","Michael Thomas (NO)","10","11","101","10.1","24","1","1","0","0","0","0","1","26.1","26.1","93.0%"
"6","Allen Robinson II (LAR)","6","10","131","21.8","49","6","1","0","0","0","0","1","25.1","25.1","96.0%"
"7","A.J. Brown (PHI)","4","5","135","33.8","65","6","1","0","0","0","0","1","23.5","23.5","99.0%"
"8","Calvin Ridley (ATL)","6","14","85","14.2","21","1","1","1","15","0","0","1","22.0","22.0","2.0%"
"9","Marquise Brown (ARI)","5","7","42","8.4","18","0","2","0","0","0","0","1","21.2","21.2","92.0%"
"10","William Fuller V (FA)","7","11","140","20.0","51","7","0","0","0","0","0","1","21.0","21.0","2.0%"
"11","Odell Beckham Jr. (FA)","6","8","84","14.0","35","2","1","0","0","0","0","1","20.4","20.4","14.0%"
"12","Cole Beasley (FA)","6","9","76","12.7","30","2","1","0","0","0","0","1","19.6","19.6","1.0%"
"13","Davante Adams (LV)","7","12","43","6.1","14","0","1","0","0","0","0","1","19.3","19.3","100.0%"
"14","Tyler Boyd (CIN)","5","9","101","20.2","47","4","1","0","0","0","1","1","19.1","19.1","55.0%"
"15","James Washington (DAL)","3","7","98","32.7","79","4","1","0","0","0","0","1","18.8","18.8","1.0%"
"16","Robbie Anderson (CAR)","4","5","86","21.5","31","5","1","0","0","0","0","1","18.6","18.6","11.0%"
"17","Julian Edelman (FA)","8","12","93","11.6","23","3","0","0","0","0","0","1","17.3","17.3","24.0%"
"18","Robert Woods (TEN)","6","9","97","16.2","38","3","0","0","0","0","0","1","15.7","15.7","73.0%"
"19","Russell Gage (TB)","8","10","76","9.5","19","0","0","0","0","0","0","1","15.6","15.6","52.0%"
"20","Willie Snead IV (SF)","2","3","14","7.0","7","0","2","0","0","0","0","1","15.4","15.4","0.0%"
"21","DeVante Parker (NE)","6","11","91","15.2","22","2","0","0","0","0","0","1","15.1","15.1","40.0%"
"22","Dede Westbrook (FA)","8","9","69","8.6","22","2","0","0","0","0","0","1","14.9","14.9","0.0%"
"23","Allen Hurns (FA)","4","7","42","10.5","19","0","1","0","0","0","0","1","14.2","14.2","0.0%"
"24","Anthony Miller (PIT)","6","9","77","12.8","22","1","0","0","0","0","0","1","13.7","13.7","0.0%"
"25","Deebo Samuel (SF)","2","2","50","25.0","42","3","1","0","0","0","0","1","13.0","13.0","100.0%"
"26","Randall Cobb (GB)","4","7","86","21.5","59","4","0","0","0","0","0","1","12.6","12.6","4.0%"
"27","Golden Tate (FA)","3","7","33","11.0","23","1","1","0","0","0","0","1","12.3","12.3","0.0%"
"28","Terry McLaurin (WAS)","5","12","72","14.4","26","1","0","0","0","0","0","1","12.2","12.2","98.0%"
"29","John Brown (FA)","2","4","39","19.5","34","2","1","0","0","0","0","1","11.9","11.9","2.0%"
"30","Julio Jones (TB)","5","10","68","13.6","31","2","0","0","0","0","0","1","11.8","11.8","46.0%"
"31","Jakobi Meyers (NE)","4","9","74","18.5","32","3","0","0","0","0","0","1","11.4","11.4","35.0%"
"32","DJ Chark Jr. (DET)","5","6","38","7.6","12","0","0","0","0","0","0","1","10.8","10.8","26.0%"
"33","Darius Slayton (NYG)","4","7","67","16.8","19","0","0","0","0","0","0","1","10.7","10.7","0.0%"
"34","Malik Turner (SF)","1","2","33","33.0","33","2","1","0","0","0","0","1","10.3","10.3","0.0%"
"35","Kenny Golladay (NYG)","4","4","61","15.3","34","2","0","0","0","0","0","1","10.1","10.1","34.0%"
