"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","11","13","147","13.4","28","2","2","0","0","0","0","1","41.7","41.7","100.0%"
"2","David Njoku (CLE)","7","7","149","21.3","71","7","1","0","0","0","0","1","27.9","27.9","62.0%"
"3","Kyle Pitts (ATL)","9","10","119","13.2","39","3","1","0","0","0","0","1","26.9","26.9","100.0%"
"4","Dawson Knox (BUF)","3","4","117","39.0","53","8","1","0","0","0","0","1","20.7","20.7","95.0%"
"5","Hunter Henry (NE)","6","8","75","12.5","21","1","1","0","0","0","0","1","19.5","19.5","70.0%"
"6","Travis Kelce (KC)","6","10","57","9.5","15","0","1","0","0","0","0","1","17.7","17.7","100.0%"
"7","Dalton Schultz (DAL)","6","8","79","13.2","30","2","0","0","0","0","0","1","13.9","13.9","99.0%"
"8","Donald Parham Jr. (LAC)","2","2","29","14.5","22","1","1","0","0","0","0","1","12.9","12.9","1.0%"
"9","Hayden Hurst (CIN)","4","5","40","10.0","17","0","1","0","0","0","1","1","12.0","12.0","12.0%"
"10","Dan Arnold (JAC)","6","8","64","10.7","18","0","0","0","0","0","1","1","10.4","10.4","1.0%"
"11","Evan Engram (JAC)","4","4","55","13.8","18","0","0","0","0","0","0","1","9.5","9.5","20.0%"
"12","Tyler Higbee (LAR)","2","2","14","7.0","13","0","1","0","0","0","0","1","9.4","9.4","53.0%"
"13","Tommy Tremble (CAR)","2","4","12","6.0","7","0","1","0","0","0","0","1","9.2","9.2","1.0%"
"14","Ricky Seals-Jones (NYG)","5","9","41","8.2","16","0","0","0","0","0","0","1","9.1","9.1","1.0%"
"15","Darren Waller (LV)","4","8","45","11.3","29","1","0","0","0","0","0","1","8.5","8.5","99.0%"
"16","MyCole Pruitt (ATL)","1","1","14","14.0","14","0","1","0","0","0","0","1","8.4","8.4","0.0%"
"17","Mike Gesicki (MIA)","4","7","43","10.8","23","1","0","0","0","0","0","1","8.3","8.3","73.0%"
"18","Antony Auclair (HOU)","1","1","11","11.0","11","0","1","0","0","0","0","1","8.1","8.1","0.0%"
"19","Mo Alie-Cox (IND)","3","4","50","16.7","24","1","0","0","0","0","0","1","8.0","8.0","6.0%"
"20","Ian Thomas (CAR)","4","5","40","10.0","24","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"21","Jesper Horsted (LV)","1","1","2","2.0","2","0","1","0","0","0","0","1","7.2","7.2","0.0%"
"22","Jacob Hollister (LV)","1","1","1","1.0","1","0","1","0","0","0","0","1","7.1","7.1","0.0%"
"23","Anthony Firkser (ATL)","3","4","33","11.0","14","0","0","0","0","0","0","1","6.3","6.3","0.0%"
"24","Adam Trautman (NO)","2","2","43","21.5","32","2","0","0","0","0","0","1","6.3","6.3","1.0%"
"25","Lee Smith (FA)","3","3","30","10.0","22","1","0","0","0","0","0","1","6.0","6.0","0.0%"
"26","Marcedes Lewis (GB)","2","2","34","17.0","20","1","0","0","0","0","0","1","5.4","5.4","0.0%"
"27","Jonnu Smith (NE)","2","2","27","13.5","23","1","0","1","5","0","0","1","5.2","5.2","2.0%"
"28","Noah Fant (SEA)","3","4","20","6.7","9","0","0","0","0","0","0","1","5.0","5.0","28.0%"
"29","Will Dissly (SEA)","2","4","29","14.5","21","1","0","0","0","0","0","1","4.9","4.9","0.0%"
"30","Dallas Goedert (PHI)","2","3","28","14.0","20","1","0","0","0","0","0","1","4.8","4.8","97.0%"
"31","Tyler Conklin (NYJ)","2","3","25","12.5","16","0","0","0","0","0","0","1","4.5","4.5","2.0%"
"32","Ross Dwelley (SF)","2","2","25","12.5","13","0","0","0","0","0","0","1","4.5","4.5","0.0%"
"33","Durham Smythe (MIA)","2","3","23","11.5","21","1","0","0","0","0","0","1","4.3","4.3","0.0%"
"34","Pharaoh Brown (HOU)","2","4","22","11.0","15","0","0","0","0","0","0","1","4.2","4.2","0.0%"
"35","T.J. Hockenson (DET)","2","3","22","11.0","14","0","0","0","0","0","0","1","4.2","4.2","97.0%"
"36","Cole Kmet (CHI)","2","4","22","11.0","14","0","0","0","0","0","0","1","4.2","4.2","77.0%"
"37","Jared Cook (FA)","1","3","29","29.0","29","1","0","0","0","0","0","1","3.9","3.9","1.0%"
"38","O.J. Howard (BUF)","2","3","19","9.5","10","0","0","0","0","0","0","1","3.9","3.9","1.0%"
"39","Kylen Granson (IND)","2","2","19","9.5","15","0","0","0","0","0","0","1","3.9","3.9","0.0%"
"40","Jordan Akins (NYG)","2","2","17","8.5","9","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"41","C.J. Uzomah (NYJ)","2","2","16","8.0","9","0","0","0","0","0","0","1","3.6","3.6","3.0%"
"42","Adam Shaheen (MIA)","2","2","15","7.5","10","0","0","0","0","0","0","1","3.5","3.5","0.0%"
"43","Josh Oliver (BAL)","2","2","13","6.5","7","0","0","0","0","0","0","1","3.3","3.3","0.0%"
"44","Eric Ebron (FA)","2","2","10","5.0","5","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"45","Drew Sample (CIN)","2","4","9","4.5","6","0","0","0","0","0","0","1","2.9","2.9","0.0%"
"46","Pat Freiermuth (PIT)","2","2","7","3.5","4","0","0","0","0","0","0","1","2.7","2.7","86.0%"
"47","Kyle Rudolph (TB)","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","2.0%"
"48","Maxx Williams (ARI)","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.0%"
"49","Zach Gentry (PIT)","1","2","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"50","Luke Farrell (JAC)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"51","Cameron Brate (TB)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","7.0%"
"52","Austin Hooper (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","2.0","2.0","30.0%"
"53","Robert Tonyan (GB)","1","2","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","27.0%"
"54","Zach Ertz (ARI)","1","6","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","94.0%"
"55","Jack Doyle (FA)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","2.0%"
"56","Ryan Griffin (CHI)","1","2","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"57","Blake Bell (KC)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"58","Charlie Woerner (SF)","1","1","4","4.0","4","0","0","0","0","0","0","1","1.4","1.4","0.0%"
"59","Colby Parkinson (SEA)","1","2","1","1.0","1","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"60","Tommy Sweeney (BUF)","1","1","1","1.0","1","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"61","Nick Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Ben Ellefson (MIN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"63","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Sage Surratt (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"67","Thaddeus Moss (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Rashod Berry (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"69","Tommy Hudson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Nakia Griffin-Stewart (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"74","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"75","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
